	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.0000	58.424	65.175	134.982	44.618	65.163	66.624	75.357	28.344	32.082	61.580	41.352	106.685	55.128	94.066	474.902	94.525	63.321	74.048	0.7381	13.287	54.819	0.6116	41.733	11.673	15.573	17.807	116.516	154.832	32.818	117.526	90.353	70.676	75.082	158.780	131.766	145.209	75.073	88.172	85.778	235.128	95.971	48.285	123.657	120.198
2	58.424	0.0000	135.190	28.545	83.911	0.1152	58.748	97.818	61.079	50.297	54.589	99.429	63.002	52.084	80.364	472.732	28.076	33.228	18.478	57.438	51.467	70.679	43.087	45.801	23.747	42.137	66.919	31.031	88.091	73.336	65.633	59.225	82.953	100.211	174.886	107.668	156.067	116.123	152.134	166.465	136.383	60.765	68.163	39.572	115.809
3	65.175	135.190	0.0000	219.910	48.515	152.967	172.011	226.611	170.512	133.939	165.559	174.281	170.726	114.800	75.597	542.646	168.253	133.082	152.649	48.377	110.016	80.400	88.405	136.735	76.839	112.981	119.697	169.524	143.092	33.143	186.824	224.650	152.066	148.359	332.360	248.570	93.828	105.867	200.575	104.336	320.212	150.686	79.366	217.414	112.340
4	134.982	28.545	219.910	0.0000	164.186	29.569	147.123	199.221	135.443	127.397	137.209	188.459	120.400	120.335	158.591	516.326	54.902	31.571	13.046	114.800	105.287	78.633	109.488	59.746	71.324	81.226	108.622	0.8105	68.979	123.465	94.658	103.111	127.551	140.401	174.318	99.738	203.150	160.605	186.969	209.811	133.340	134.832	141.655	63.403	204.231
5	44.618	83.911	48.515	164.186	0.0000	101.454	59.631	101.010	88.091	39.577	52.160	68.440	187.998	121.982	104.799	496.706	155.034	117.023	96.232	32.582	96.468	67.220	73.271	75.458	46.365	70.673	92.229	132.235	96.617	20.616	71.157	91.244	122.147	141.557	268.464	157.696	72.278	72.860	149.551	99.208	164.289	106.393	69.771	167.673	62.398
6	65.163	0.1152	152.967	29.569	101.454	0.0000	63.672	99.651	62.046	57.126	60.275	106.198	56.285	50.908	86.076	479.849	24.631	37.322	23.853	68.344	52.330	84.804	45.138	53.911	29.446	47.078	71.451	35.803	105.762	89.384	78.514	65.061	88.487	105.707	176.022	117.295	180.349	132.929	162.393	185.744	150.941	63.804	76.110	36.911	131.289
7	66.624	58.748	172.011	147.123	59.631	63.672	0.0000	13.711	35.292	10.309	0.1985	32.866	142.611	99.685	128.389	498.872	115.203	133.784	100.424	83.761	97.671	149.033	73.699	92.108	63.859	78.813	107.502	153.141	182.496	108.146	53.551	26.140	108.307	144.211	221.449	141.850	166.183	122.947	157.633	185.526	127.759	61.821	80.733	100.840	79.137
8	75.357	97.818	226.611	199.221	101.010	99.651	13.711	0.0000	22.260	19.211	17.850	18.953	171.462	119.831	181.342	523.288	150.509	165.736	140.794	105.498	99.804	189.436	80.717	109.745	88.185	86.947	106.257	213.298	265.903	151.350	94.578	36.058	116.311	150.748	195.129	153.575	230.433	146.038	142.552	202.010	177.243	93.525	106.337	133.053	128.626
9	28.344	61.079	170.512	135.443	88.091	62.046	35.292	22.260	0.0000	15.800	33.869	13.574	124.128	76.591	151.569	486.260	101.603	86.799	81.906	49.661	31.284	108.714	26.159	48.474	36.153	26.242	33.588	141.542	209.012	96.171	99.957	41.757	74.394	91.857	121.720	108.357	210.304	106.839	84.975	138.789	194.055	94.808	78.316	105.840	147.585
10	32.082	50.297	133.939	127.397	39.577	57.126	10.309	19.211	15.800	0.0000	0.6883	11.985	144.400	91.591	130.952	478.426	111.863	96.184	71.982	42.539	56.772	94.406	42.042	48.594	32.336	37.253	56.806	124.019	149.573	65.212	55.612	25.967	88.676	114.731	176.100	111.753	149.967	91.242	110.390	133.177	138.536	79.318	70.602	109.633	93.894
