	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.0000	0.3434	46.789	27.747	31.823	15.851	32.998	35.597	19.641	36.503	42.863	17.421	51.212	49.892	165.989	24.423	32.368	54.830	75.583	16.317	28.673	31.251	64.828	26.328	151.697	10.331	29.066	114.900	39.921	22.114	353.295	100.251	27.534	57.989	18.061	84.144	10.712	64.018	23.523	18.938	83.172	28.439	179.721	65.615	26.478
2	0.3434	0.0000	32.765	19.194	37.115	24.425	30.099	28.188	14.009	31.841	34.580	16.180	30.899	45.931	149.215	31.512	32.395	42.512	87.981	19.118	42.631	45.604	48.753	20.704	180.809	10.763	28.572	115.336	22.408	26.006	385.574	117.397	25.912	48.773	17.569	76.799	0.5056	69.512	20.069	11.598	89.567	19.318	157.602	46.862	33.451
3	46.789	32.765	0.0000	11.830	42.986	87.718	10.079	22.206	23.942	20.766	35.227	46.844	0.9928	51.654	120.014	56.099	19.792	31.585	140.368	27.381	106.601	127.935	0.6050	0.6267	281.102	34.374	57.735	184.609	46.073	77.971	323.313	148.253	26.639	56.385	64.168	94.251	20.050	47.978	48.585	14.857	160.895	62.178	126.935	16.574	92.499
4	27.747	19.194	11.830	0.0000	16.614	44.381	11.282	10.819	22.083	0.7623	28.243	35.073	11.562	16.924	92.157	22.854	28.125	13.707	72.819	26.622	88.668	103.009	25.477	0.5425	244.198	13.735	17.561	104.344	27.419	64.424	306.021	85.462	0.5161	42.608	39.308	62.382	14.207	61.875	34.927	0.6875	87.329	37.000	109.787	15.553	51.174
5	31.823	37.115	42.986	16.614	0.0000	30.122	16.764	30.296	47.136	17.393	56.368	54.053	55.728	20.093	122.977	0.3835	31.410	38.929	36.647	31.684	83.105	98.876	64.473	17.954	217.510	14.126	15.807	94.875	68.735	79.082	223.140	37.366	0.6175	73.609	55.637	85.430	32.429	50.832	57.813	28.907	65.520	69.467	158.615	55.531	47.866
6	15.851	24.425	87.718	44.381	30.122	0.0000	60.437	64.003	61.322	58.663	83.721	53.407	83.353	47.960	186.944	14.133	65.392	74.623	31.669	54.135	62.243	58.475	120.697	53.201	187.890	14.179	18.219	62.823	50.629	60.617	372.454	65.441	36.369	96.195	40.792	105.469	32.642	96.444	58.791	48.408	31.103	48.250	218.248	101.138	31.321
7	32.998	30.099	10.079	11.282	16.764	60.437	0.0000	24.533	28.084	15.857	43.696	45.908	30.646	42.769	136.425	27.031	0.6173	39.657	99.965	15.433	84.291	106.020	22.720	0.1595	242.882	19.040	43.247	165.717	63.031	72.158	250.989	100.163	14.511	67.695	61.436	100.966	17.755	22.713	51.276	17.673	130.679	72.367	156.666	35.685	75.307
8	35.597	28.188	22.206	10.819	30.296	64.003	24.533	0.0000	10.947	0.2582	0.5420	17.857	21.822	15.418	55.278	42.940	47.677	0.5185	88.575	22.242	67.743	84.231	21.520	17.765	182.493	36.200	27.138	116.496	46.635	43.213	270.842	86.284	0.9964	12.265	23.247	26.959	33.834	90.502	14.970	0.4268	113.028	27.415	63.935	10.166	34.610
9	19.641	14.009	23.942	22.083	47.136	61.322	28.084	10.947	0.0000	18.158	0.7723	0.4215	28.527	44.447	103.839	54.583	37.183	27.597	120.776	0.9354	36.787	48.940	22.285	20.462	149.269	34.855	45.617	154.324	46.077	16.840	321.108	127.449	26.231	18.390	13.939	47.458	22.277	78.084	0.5467	0.4615	139.951	21.983	102.497	26.837	34.869
10	36.503	31.841	20.766	0.7623	17.393	58.663	15.857	0.2582	18.158	0.0000	14.501	27.218	25.939	11.708	62.880	30.485	38.356	0.8095	74.515	21.445	74.943	93.951	24.422	12.293	196.534	29.733	22.847	113.767	53.941	55.235	237.360	68.548	0.3967	24.671	33.441	38.731	32.894	73.541	25.759	0.7437	104.047	40.761	79.368	14.789	39.939
11	42.863	34.580	35.227	28.243	56.368	83.721	43.696	0.5420	0.7723	14.501	0.0000	10.642	33.188	33.521	57.519	70.216	65.923	14.438	121.422	25.793	56.156	71.187	25.849	34.571	150.880	57.253	47.494	143.224	58.572	29.732	297.562	117.436	28.217	0.3142	17.550	20.434	47.487	116.082	0.6952	0.9812	145.756	23.450	55.210	17.645	34.501
12	17.421	16.180	46.844	35.073	54.053	53.407	45.908	17.857	0.4215	27.218	10.642	0.0000	47.886	47.296	108.139	57.562	55.584	35.926	110.520	14.910	21.063	28.391	45.099	36.752	109.762	41.268	44.649	138.709	54.004	0.5683	329.453	118.490	33.539	16.826	0.4301	39.429	32.808	101.137	0.1029	11.974	127.668	15.893	106.941	43.730	18.929
13	51.212	30.899	0.9928	11.562	55.728	83.353	30.646	21.822	28.527	25.939	33.188	47.886	0.0000	41.757	96.397	64.185	48.569	20.113	130.689	48.512	122.630	136.439	17.796	19.430	300.248	38.600	46.303	142.065	19.521	81.632	400.275	153.367	30.435	46.351	55.201	74.076	24.002	92.625	44.861	15.214	133.604	39.317	99.684	0.8524	84.033
14	49.892	45.931	51.654	16.924	20.093	47.960	42.769	15.418	44.447	11.708	33.521	47.296	41.757	0.0000	51.162	27.322	75.418	0.9513	38.056	53.922	101.208	113.655	63.308	35.528	218.112	36.257	0.7960	56.232	50.904	78.811	268.324	40.582	0.8089	36.525	40.087	32.295	51.931	119.121	42.267	24.151	57.087	40.256	77.129	29.428	33.715
15	165.989	149.215	120.014	92.157	122.977	186.944	136.425	55.278	103.839	62.880	57.519	108.139	96.397	51.162	0.0000	150.290	195.895	36.043	151.905	141.536	198.681	220.603	102.491	123.862	277.282	160.207	94.621	140.106	136.170	153.091	304.082	128.370	82.780	43.816	103.056	25.240	166.018	265.698	91.220	86.824	183.175	95.845	0.7365	51.640	104.067
16	24.423	31.512	56.099	22.854	0.3835	14.133	27.031	42.940	54.583	30.485	70.216	57.562	64.185	27.322	150.290	0.0000	37.544	51.863	26.929	39.037	79.524	88.815	84.714	26.234	217.680	0.8314	12.594	78.975	60.716	77.688	269.141	40.097	13.099	87.516	54.040	98.541	28.822	57.911	62.559	35.843	45.578	65.622	187.907	72.275	44.115
17	32.368	32.395	19.792	28.125	31.410	65.392	0.6173	47.677	37.183	38.356	65.923	55.584	48.569	75.418	195.895	37.544	0.0000	71.908	127.259	16.576	79.785	99.998	36.054	0.9556	247.001	22.892	66.301	206.301	77.455	74.414	282.246	133.314	34.376	96.384	75.495	141.706	17.272	0.8387	65.554	31.941	156.582	90.897	214.476	63.589	94.129
18	54.830	42.512	31.585	13.707	38.929	74.623	39.657	0.5185	27.597	0.8095	14.438	35.926	20.113	0.9513	36.043	51.863	71.908	0.0000	83.947	47.413	102.762	118.134	32.755	29.866	227.014	47.224	24.926	94.518	41.597	69.202	300.731	85.989	14.548	17.121	35.827	22.924	47.756	122.051	29.216	13.437	101.603	30.439	46.977	0.6789	45.285
19	75.583	87.981	140.368	72.819	36.647	31.669	99.965	88.575	120.776	74.515	121.422	110.520	130.689	38.056	151.905	26.929	127.259	83.947	0.0000	111.627	132.893	134.378	175.728	95.507	239.623	55.466	22.772	27.945	104.118	132.647	300.436	14.801	48.620	125.867	87.838	106.418	97.284	159.946	110.238	91.582	12.491	96.762	203.739	128.565	54.050
20	16.317	19.118	27.381	26.622	31.684	54.135	15.433	22.242	0.9354	21.445	25.793	14.910	48.512	53.922	141.536	39.037	16.576	47.413	111.627	0.0000	30.003	46.274	31.189	14.857	143.656	27.241	50.769	175.179	72.016	24.848	258.915	109.764	24.630	44.327	29.443	78.528	21.446	40.591	21.279	13.695	143.359	49.892	150.620	48.838	43.651
21	28.673	42.631	106.601	88.668	83.105	62.243	84.291	67.743	36.787	74.943	56.156	21.063	122.630	101.208	198.681	79.524	79.785	102.762	132.893	30.003	0.0000	0.3322	107.962	79.762	53.522	68.842	85.011	187.337	117.522	0.7836	324.990	136.852	75.704	65.790	25.892	92.613	66.550	114.184	28.905	55.446	158.584	57.456	201.675	120.864	30.889
22	31.251	45.604	127.935	103.009	98.876	58.475	106.020	84.231	48.940	93.951	71.187	28.391	136.439	113.655	220.603	88.815	99.998	118.134	134.378	46.274	0.3322	0.0000	133.366	98.224	54.861	75.394	89.753	176.984	115.619	10.575	382.712	149.752	90.879	78.424	27.489	102.621	73.874	139.518	36.095	68.078	149.374	55.497	222.688	140.087	31.317
23	64.828	48.753	0.6050	25.477	64.473	120.697	22.720	21.520	22.285	24.422	25.849	45.099	17.796	63.308	102.491	84.714	36.054	32.755	175.728	31.189	107.962	133.366	0.0000	18.652	263.583	60.891	79.892	219.430	67.300	75.984	310.106	172.025	39.804	43.668	67.008	82.786	40.138	69.442	44.934	19.532	204.415	67.897	100.271	14.184	100.317
24	26.328	20.704	0.6267	0.5425	17.954	53.201	0.1595	17.765	20.462	12.293	34.571	36.752	19.430	35.528	123.862	26.234	0.9556	29.866	95.507	14.857	79.762	98.224	18.652	0.0000	238.895	14.563	34.847	148.369	45.265	62.624	281.130	102.243	11.231	55.657	49.208	86.962	11.139	32.711	40.546	10.152	118.774	54.896	140.536	25.955	65.205
25	151.697	180.809	281.102	244.198	217.510	187.890	242.882	182.493	149.269	196.534	150.880	109.762	300.248	218.112	277.282	217.680	247.001	227.014	239.623	143.656	53.522	54.861	263.583	238.895	0.0000	225.033	211.558	297.066	293.386	78.210	347.558	215.049	206.139	144.763	108.599	152.006	232.517	293.568	115.402	184.661	286.537	164.316	275.387	268.587	94.687
